BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated
1954,TRUE,3,1,2,0,2,2,TRUE,3,2,16580.0572
1975,FALSE,1,0,0,0,1,2,TRUE,3,2,11181.0859
1975,TRUE,1,1,0,0,1,2,TRUE,3,2,11576.3912
1973,TRUE,2,0,0,0,2,2,FALSE,1,2,7270.954
1973,TRUE,2,0,0,0,2,3,TRUE,3,2,16515.7592
1955,FALSE,3,0,2,0,1,2,TRUE,3,2,13931.8086
1955,FALSE,3,0,2,0,1,2,FALSE,1,2,7075.0238
1955,TRUE,3,1,2,0,1,2,TRUE,3,2,14486.6455
1955,FALSE,3,0,2,0,1,2,FALSE,1,2,7084.4046
1956,FALSE,2,0,2,0,1,2,TRUE,3,2,11412.3021
1956,FALSE,2,1,2,0,1,2,TRUE,3,2,14700.4603
1957,FALSE,3,0,2,0,1,3,TRUE,3,2,16068.5157
1957,FALSE,3,1,2,0,1,3,TRUE,3,3,20880.8645
1957,FALSE,3,0,2,0,1,3,FALSE,1,2,8149.3955
1974,FALSE,1,0,0,0,1,3,FALSE,1,2,6587.8398
1959,TRUE,4,1,0,0,4,4,TRUE,0,2,26461.6529
1966,TRUE,4,0,2,2,3,4,TRUE,2,3,20218.457
1966,FALSE,4,0,0,0,4,4,FALSE,1,3,23388.8798
1966,TRUE,4,0,0,0,4,4,TRUE,1,3,22340.7662
1957,FALSE,2,0,2,0,1,3,FALSE,3,2,10975.4982
1957,FALSE,3,0,2,1,3,4,TRUE,2,1,18055.4845
1957,TRUE,3,1,2,0,2,3,TRUE,3,1,19171.0059
1962,TRUE,2,1,1,0,3,3,TRUE,3,1,21282.4157
1961,TRUE,2,1,1,0,3,3,TRUE,0,1,11801.509
1960,FALSE,2,0,1,0,2,2,TRUE,3,1,14151.8919
1965,FALSE,2,0,0,0,3,3,FALSE,0,1,11955.1346
1965,FALSE,3,0,5,5,3,3,TRUE,1,4,10452.2151
1964,FALSE,2,1,0,0,3,3,FALSE,3,1,27842.3829
1963,FALSE,2,0,0,0,3,3,FALSE,0,2,11837.7455
1962,FALSE,2,0,5,4,2,2,TRUE,3,2,9634.1547
1962,TRUE,2,1,5,4,2,2,TRUE,3,2,9954.9018
1961,TRUE,2,0,5,4,2,2,TRUE,4,3,8590.425
1957,FALSE,3,1,1,0,2,2,FALSE,0,1,10449.0105
1960,TRUE,2,1,5,4,2,2,TRUE,4,3,11065.1164
1960,TRUE,2,1,5,4,2,2,TRUE,3,3,9964.9215
1960,TRUE,2,1,5,4,2,2,TRUE,4,3,11059.7145
1975,TRUE,1,0,0,0,1,2,TRUE,3,1,8942.6146
1975,FALSE,1,0,0,0,1,2,TRUE,3,1,11167.0897
1980,TRUE,1,0,0,0,1,2,TRUE,3,2,8860.658
1980,FALSE,1,0,0,0,1,2,FALSE,3,2,9345.9967
1946,FALSE,0,1,5,0,1,2,TRUE,3,2,3416.8029
1979,FALSE,1,1,0,0,0,1,FALSE,3,2,8791.8322
1978,FALSE,1,0,0,0,1,2,FALSE,0,2,5224.3993
1978,TRUE,1,0,0,0,1,2,FALSE,0,2,4128.0105
1938,FALSE,1,0,2,0,2,1,FALSE,3,2,5891.6846
1977,FALSE,1,1,0,0,0,1,FALSE,3,2,8789.2838
1977,TRUE,1,0,0,0,1,2,FALSE,0,2,4140.3396
1977,FALSE,1,1,0,0,1,2,FALSE,0,2,6792.6849
1977,TRUE,1,1,0,0,1,2,TRUE,3,2,11567.9965
1979,FALSE,1,1,0,0,1,2,FALSE,0,2,6678.7188
1979,FALSE,1,0,0,0,1,2,FALSE,0,2,5145.7987
1939,FALSE,1,0,2,0,3,4,TRUE,3,2,16065.7719
1939,TRUE,2,1,2,0,4,4,TRUE,0,1,11214.6834
1941,TRUE,1,1,2,0,3,4,TRUE,0,3,9254.8845
1941,FALSE,1,1,2,0,3,4,TRUE,3,3,20865.4983
1942,FALSE,2,0,2,0,4,4,FALSE,0,1,9017.3112
1976,TRUE,1,0,0,0,1,2,TRUE,3,2,9000.4817
1976,FALSE,1,0,0,0,2,2,TRUE,3,1,12758.3676
1976,FALSE,1,1,0,0,2,2,FALSE,1,1,8420.1254
1976,FALSE,1,0,0,0,2,2,FALSE,1,1,6518.6866
1975,TRUE,1,0,0,0,1,2,TRUE,3,2,8898.5298
1975,FALSE,1,1,0,0,1,2,TRUE,3,2,14508.6615
1974,FALSE,1,1,0,0,2,2,TRUE,3,1,16609.1009
1974,TRUE,1,1,0,0,2,2,TRUE,3,1,13211.7561
1974,FALSE,1,1,0,0,2,2,FALSE,1,1,8384.3398
1972,FALSE,2,0,0,0,2,2,FALSE,0,2,8277.0832
1968,FALSE,3,1,0,0,3,4,FALSE,0,1,22920.9628
1968,TRUE,3,0,4,4,3,4,TRUE,0,1,9734.5175
1967,TRUE,3,0,1,0,3,4,TRUE,1,2,14800.7743
1967,FALSE,4,0,0,0,4,4,FALSE,0,5,21224.6107
1963,FALSE,2,1,0,0,2,2,TRUE,3,2,23243.9434
1942,TRUE,4,1,2,2,4,4,TRUE,3,2,31545.8212
1943,TRUE,3,1,2,4,4,4,TRUE,1,3,13804.2681
1943,TRUE,4,0,2,2,4,4,TRUE,3,3,24169.0166
1943,TRUE,4,0,1,1,3,4,TRUE,0,4,17005.2185
1943,TRUE,4,1,2,2,4,4,TRUE,0,6,17512.698
1944,TRUE,2,0,4,0,4,4,TRUE,4,2,15167.0462
1944,TRUE,2,0,4,0,4,4,FALSE,1,2,7006.0057
1944,FALSE,2,1,4,0,4,4,TRUE,4,2,24572.2203
1945,FALSE,2,0,5,0,3,4,TRUE,4,3,20275.224
1945,TRUE,2,0,4,0,3,4,TRUE,2,2,11392.3037
1946,TRUE,2,0,5,0,3,4,TRUE,4,3,16167.6004
1946,TRUE,2,1,5,0,3,4,TRUE,4,3,21036.64
1946,TRUE,2,0,3,1,3,4,FALSE,1,1,7756.1251
1946,FALSE,2,0,4,1,3,4,TRUE,4,1,19840.9466
1946,TRUE,2,0,4,1,3,4,TRUE,4,1,15935.5285
1947,TRUE,2,1,4,1,3,4,TRUE,1,1,11378.9718
1947,TRUE,3,0,5,0,3,4,FALSE,1,2,9063.2742
1948,TRUE,1,1,2,1,1,3,TRUE,4,2,9809.4997
1948,TRUE,1,0,2,1,1,3,TRUE,2,3,4904.9395
1948,TRUE,2,1,2,1,2,3,TRUE,4,1,15702.8387
1948,TRUE,2,1,4,1,2,3,TRUE,4,2,13806.8706
1949,TRUE,1,0,2,1,1,3,TRUE,2,3,4928.2773
1949,TRUE,1,0,2,1,1,3,TRUE,2,2,4941.17
1949,FALSE,2,0,2,1,2,3,TRUE,4,2,15108.8645
1950,TRUE,1,0,2,1,0,2,TRUE,4,2,6189.8805
1950,FALSE,2,0,2,1,2,3,TRUE,4,2,15175.6618
1950,FALSE,2,0,2,1,2,3,TRUE,4,2,15160.4678
1950,TRUE,2,1,2,1,1,3,TRUE,4,2,13735.718
1950,TRUE,2,1,4,2,2,3,TRUE,1,1,7498.2744
1951,FALSE,2,0,2,1,1,3,TRUE,2,2,8568.3118
1951,FALSE,2,0,2,1,1,3,TRUE,4,2,13150.4341
1951,TRUE,2,0,2,1,2,3,TRUE,4,1,12092.3706
1952,TRUE,2,1,2,1,1,3,TRUE,4,2,13817.5183
1952,TRUE,2,0,3,1,1,3,FALSE,2,2,5361.3985
1952,FALSE,2,0,4,2,2,3,TRUE,4,2,13214.0971
1952,TRUE,2,1,4,2,2,3,TRUE,4,2,13712.7643
1952,FALSE,2,1,5,2,2,3,TRUE,4,2,15957.3234
1958,FALSE,4,1,2,4,3,4,FALSE,0,4,21045.7806
1958,FALSE,4,0,2,2,3,4,FALSE,0,4,16219.2068
1958,TRUE,4,0,2,2,2,3,FALSE,3,2,15577.3547
1958,TRUE,4,0,2,2,2,3,TRUE,3,4,18683.9815
1957,FALSE,3,0,2,2,2,3,TRUE,3,4,16742.2472
1957,TRUE,4,1,2,4,2,3,TRUE,3,3,24294.4839
1957,FALSE,4,0,2,2,3,4,FALSE,0,3,16257.5037
1956,TRUE,4,1,3,4,1,3,FALSE,3,5,16597.4668
1956,TRUE,4,0,3,3,1,3,FALSE,3,5,12723.6043
1956,FALSE,4,0,3,3,2,3,FALSE,0,3,10063.4438
1955,TRUE,4,1,3,3,2,3,TRUE,4,6,25309.6592
1955,TRUE,4,0,3,3,2,3,TRUE,0,3,9650.1985
1955,TRUE,4,0,3,3,1,3,TRUE,3,2,15337.8939
1932,FALSE,1,1,4,0,1,3,FALSE,3,2,8832.6379
1933,TRUE,2,1,2,0,4,4,TRUE,1,2,12378.4416
1933,TRUE,2,0,4,0,4,4,TRUE,3,2,13571.3723
1933,FALSE,4,0,1,1,4,4,TRUE,2,4,23917.3014
1933,TRUE,4,1,1,1,4,4,TRUE,2,4,24999.7744
1965,TRUE,3,0,4,1,2,3,TRUE,2,4,8422.4014
1965,TRUE,4,0,2,2,3,4,TRUE,2,3,20232.5898
1964,TRUE,3,0,5,5,2,3,TRUE,2,3,7886.5755
1964,FALSE,3,1,5,5,2,3,FALSE,0,3,8189.7556
1964,TRUE,3,0,5,5,2,3,TRUE,0,3,6030.7569
1964,FALSE,4,1,4,2,2,3,TRUE,2,4,19139.0755
1964,TRUE,4,0,2,2,4,4,TRUE,1,2,14773.7164
1964,TRUE,4,1,2,2,4,4,TRUE,0,3,17561.1293
1964,FALSE,4,0,2,0,3,4,FALSE,1,4,19588.488
1934,TRUE,1,1,2,0,4,4,TRUE,3,2,14425.2691
1934,TRUE,3,0,4,0,4,4,TRUE,0,2,9376.074
1963,TRUE,3,0,4,3,2,3,TRUE,2,2,8430.2428
1963,FALSE,3,1,0,0,2,3,FALSE,4,1,30393.0989
1963,FALSE,4,0,4,2,3,4,TRUE,3,5,30651.1355
1962,TRUE,3,1,5,4,2,3,TRUE,1,4,8680.3302
1962,TRUE,4,0,1,1,3,4,TRUE,1,2,18752.6299
1962,TRUE,4,1,1,2,2,3,FALSE,2,4,16000.3927
1962,TRUE,4,1,0,0,4,4,TRUE,2,4,34413.5906
1961,TRUE,2,1,5,4,2,3,FALSE,3,3,9566.6026
1961,TRUE,4,0,1,2,3,4,TRUE,2,3,22087.0809
1961,TRUE,4,0,1,1,3,4,TRUE,0,1,17011.4186
1961,TRUE,4,0,1,1,3,4,TRUE,2,3,22188.3156
1961,TRUE,4,0,1,1,3,4,TRUE,2,3,22134.8518
1961,FALSE,4,1,1,1,2,3,FALSE,0,3,15359.82
1955,TRUE,2,1,2,0,1,3,FALSE,1,2,6987.603
1954,FALSE,3,0,2,0,0,2,TRUE,3,2,13253.9396
1935,FALSE,1,0,2,0,4,4,TRUE,3,2,13924.6992
1935,FALSE,2,1,4,0,4,4,TRUE,3,2,22129.7858
1936,TRUE,2,1,4,0,4,4,TRUE,1,2,10763.0078
1960,TRUE,3,1,5,4,2,3,FALSE,1,3,7261.8816
1960,TRUE,3,1,5,4,2,3,TRUE,3,4,14140.4803
1960,FALSE,3,1,4,3,1,3,FALSE,1,3,8490.1044
1960,FALSE,3,0,4,3,1,3,FALSE,1,3,6601.5943
1960,TRUE,4,1,3,3,2,3,FALSE,2,4,13692.2781
1960,TRUE,4,1,3,3,2,3,FALSE,2,4,13688.6035
1954,TRUE,3,1,2,0,0,2,TRUE,3,2,13822.1677
1954,FALSE,2,0,2,0,1,3,TRUE,3,2,13057.8327
1953,FALSE,2,0,3,0,4,4,TRUE,3,3,18253.6114
1953,FALSE,2,0,3,0,4,4,FALSE,1,2,9325.5151
1953,FALSE,2,0,3,0,4,4,TRUE,3,2,18245.6858
1953,FALSE,2,1,3,0,4,4,TRUE,3,2,23741.2365
1953,FALSE,2,0,3,0,4,4,FALSE,1,2,9259.5842
1953,TRUE,2,1,3,0,4,4,TRUE,3,2,19027.8668
1952,FALSE,1,0,3,0,2,3,FALSE,3,2,8328.8559
1952,FALSE,1,0,3,0,2,3,FALSE,1,2,5041.0636
1937,TRUE,2,0,4,0,4,4,FALSE,1,2,6935.0571
1937,TRUE,3,0,4,0,4,4,TRUE,3,2,16723.3281
1938,TRUE,3,1,5,0,3,4,TRUE,3,2,23277.1809
1938,TRUE,3,0,5,0,3,4,TRUE,3,3,18019.5577
1938,FALSE,4,1,2,4,4,4,TRUE,3,3,39421.374
1939,TRUE,3,1,5,0,3,4,TRUE,1,2,14207.6784
1939,TRUE,4,1,2,2,3,4,TRUE,0,4,20234.5525
1940,TRUE,3,1,5,0,3,4,TRUE,3,2,23361.6086
1940,TRUE,3,1,5,0,3,4,TRUE,3,2,23238.3578
1940,FALSE,3,1,5,0,3,4,TRUE,3,3,29184.4588
1968,TRUE,3,0,4,4,2,2,TRUE,1,2,6205.5967
1955,TRUE,0,1,2,0,2,0,TRUE,0,1,2061.7098
1954,TRUE,0,0,2,0,2,0,TRUE,2,1,1888.2016
1940,TRUE,0,1,2,0,2,0,TRUE,0,1,1964.2548
1980,FALSE,0,1,0,0,2,0,FALSE,2,1,3657.3617
1978,FALSE,0,1,0,0,2,0,TRUE,2,1,4470.6168
1977,TRUE,0,0,0,0,1,0,TRUE,0,2,1788.2745
1977,TRUE,0,1,0,0,1,0,FALSE,0,2,1962.9639
1977,FALSE,0,1,0,0,1,0,FALSE,0,2,2454.1864
1970,FALSE,0,0,1,1,1,0,FALSE,2,1,1806.5538
1969,FALSE,0,0,0,0,2,0,FALSE,0,1,2228.9371
1952,FALSE,0,0,3,0,2,0,FALSE,0,2,1504.1443
1952,TRUE,0,0,2,0,2,0,TRUE,2,1,1980.5252
1952,TRUE,0,1,2,0,2,0,TRUE,0,1,1946.3532
1953,TRUE,0,1,2,1,1,0,FALSE,0,2,1327.734
1954,TRUE,3,1,3,2,2,3,FALSE,2,1,9829.418
1954,TRUE,3,0,4,2,2,3,FALSE,2,1,7039.4823
1945,TRUE,2,0,3,1,0,2,TRUE,2,5,5320.0087
1945,FALSE,3,1,5,0,2,3,FALSE,4,2,18019.8641
1945,TRUE,4,1,3,5,4,4,TRUE,0,5,16358.0499
1946,TRUE,3,1,2,2,3,4,TRUE,4,4,28955.0304
1946,TRUE,4,0,3,3,3,4,TRUE,3,4,26235.8964
1946,TRUE,4,1,4,4,3,4,TRUE,3,3,31869.1743
1953,TRUE,3,0,4,2,2,3,TRUE,4,2,12987.0751
1953,TRUE,4,1,3,3,3,4,TRUE,4,4,37875.3437
1953,TRUE,4,0,2,2,2,3,TRUE,4,2,20783.9368
1953,FALSE,4,0,2,4,3,4,TRUE,4,2,38847.8156
1952,TRUE,3,1,4,1,2,3,TRUE,4,2,16871.875
1952,TRUE,4,1,4,4,2,3,TRUE,4,2,23587.8009
1951,TRUE,3,0,4,2,1,3,TRUE,4,2,11401.2942
1951,TRUE,3,1,5,2,1,3,FALSE,2,2,7474.6575
1951,TRUE,4,1,5,5,2,3,TRUE,0,4,11036.3628
1950,FALSE,3,0,3,5,2,4,TRUE,4,4,20948.4722
1950,TRUE,4,0,3,3,2,4,FALSE,4,4,19399.3494
1949,TRUE,3,1,4,1,1,4,TRUE,4,3,17701.5712
1949,TRUE,4,0,4,4,1,4,TRUE,0,4,9568.7354
1948,TRUE,3,0,4,1,1,4,FALSE,3,3,10243.4145
1947,TRUE,3,1,5,0,0,2,FALSE,3,2,9370.6549
1947,TRUE,3,0,5,0,0,2,FALSE,3,2,7228.5224
1947,TRUE,3,1,5,0,0,2,TRUE,4,2,12413.1527
1976,FALSE,2,0,0,0,3,3,FALSE,2,4,15454.1438
1976,TRUE,2,0,0,0,3,3,TRUE,4,3,22899.5825
1974,FALSE,2,0,0,0,3,3,FALSE,4,3,23768.4161
1974,FALSE,2,0,0,0,3,3,FALSE,4,3,23776.6209
1974,TRUE,2,0,0,0,3,3,TRUE,4,4,22846.8533
1975,FALSE,3,1,0,0,3,3,TRUE,4,3,45654.1746
1975,TRUE,3,1,0,0,3,3,TRUE,4,3,36505.6995
1975,FALSE,4,1,4,5,1,4,TRUE,0,5,15411.7937
1974,FALSE,2,1,0,0,3,3,FALSE,4,4,30979.2337
1973,FALSE,3,0,0,0,3,3,FALSE,4,3,29193.646
1973,FALSE,3,1,0,0,3,3,FALSE,4,3,38036.5283
1974,FALSE,3,0,0,0,3,3,FALSE,4,3,29300.0538
1974,TRUE,3,1,0,0,1,4,TRUE,4,2,30662.8233
1974,TRUE,4,1,5,5,0,3,TRUE,4,5,18167.934
1973,TRUE,3,0,0,0,3,3,TRUE,4,3,28084.3518
1973,TRUE,3,0,0,1,1,4,TRUE,4,2,21458.5963
1972,FALSE,3,0,0,0,3,3,FALSE,4,3,29261.7595
1972,FALSE,3,1,0,0,3,3,FALSE,4,3,38067.8234
1972,FALSE,3,1,0,0,3,3,FALSE,4,3,37997.2908
1972,TRUE,4,0,0,2,1,4,TRUE,4,4,29974.4264
1972,TRUE,4,0,0,2,1,4,FALSE,4,4,24892.3384
1971,TRUE,3,1,0,0,3,3,TRUE,4,4,36576.3752
1971,TRUE,3,1,0,0,3,3,FALSE,4,4,30418.1638
1971,TRUE,4,1,0,0,0,4,TRUE,4,4,40806.2059
1969,TRUE,4,1,1,1,4,4,TRUE,0,4,19153.5778
1973,FALSE,0,1,0,0,0,0,FALSE,1,2,2569.695
1973,FALSE,0,1,0,0,0,0,FALSE,0,2,2346.0939
1963,FALSE,2,1,3,2,3,3,TRUE,3,2,20745.2373
1980,FALSE,0,1,0,0,0,0,TRUE,1,2,3070.4971
1973,FALSE,1,1,0,0,1,0,FALSE,1,1,6815.3571
1971,FALSE,0,0,0,0,0,0,TRUE,1,2,2344.1025
1971,FALSE,0,0,0,0,0,0,FALSE,1,2,2022.8112
1971,FALSE,0,1,0,0,0,0,TRUE,1,3,3165.4257
1971,FALSE,0,0,0,0,0,0,FALSE,1,2,2017.0639
1971,FALSE,0,1,0,0,0,0,FALSE,0,2,2415.9574
1971,TRUE,0,1,0,0,0,0,FALSE,0,2,1876.7909
1971,FALSE,1,1,0,0,1,0,FALSE,2,1,8052.9424
1970,FALSE,1,1,2,2,2,1,TRUE,0,2,4733.572
1970,FALSE,1,0,2,2,2,1,TRUE,1,3,3984.1733
1974,FALSE,1,1,3,3,2,1,TRUE,1,2,4905.2554
1974,FALSE,1,1,3,3,2,1,TRUE,1,2,4852.002
1975,FALSE,1,0,3,3,2,1,TRUE,1,2,3719.3013
1931,TRUE,1,0,1,0,3,2,TRUE,0,1,5650.4762
1953,TRUE,1,0,1,0,3,2,TRUE,3,1,10171.9649
1953,TRUE,1,1,1,0,3,2,TRUE,2,1,9494.3809
1954,TRUE,1,0,1,0,1,1,TRUE,2,1,3988.3332
1954,TRUE,1,0,1,0,2,1,TRUE,0,1,3446.7588
1955,TRUE,1,1,1,0,2,1,TRUE,0,1,4492.6818
1956,TRUE,1,0,1,0,2,1,TRUE,1,1,3816.0895
1956,TRUE,1,0,1,0,2,1,TRUE,0,1,3425.0315
1957,TRUE,1,0,1,0,2,1,TRUE,1,1,3824.4335
1957,TRUE,1,1,1,0,2,1,TRUE,1,1,4978.8069
1957,TRUE,1,0,1,0,2,1,TRUE,1,1,3817.3241
1967,FALSE,0,1,3,3,1,0,TRUE,0,1,1786.3672
1967,TRUE,0,0,1,1,2,0,TRUE,2,1,2013.9232
1967,FALSE,1,0,1,1,3,1,FALSE,1,1,4516.4745
1966,TRUE,1,1,1,1,3,1,TRUE,2,1,6732.9833
1966,TRUE,1,0,1,1,3,2,TRUE,0,2,5164.3338
1966,TRUE,1,1,1,1,3,2,TRUE,0,2,6585.0293
1966,TRUE,1,1,1,1,3,2,TRUE,0,2,6618.2643
1965,FALSE,0,0,2,2,1,0,TRUE,0,1,1491.4513
1965,FALSE,0,1,2,2,1,0,TRUE,0,2,1981.305
1965,TRUE,1,1,1,1,3,2,TRUE,0,2,6655.197
1964,FALSE,0,0,3,2,0,0,TRUE,0,3,1327.8106
1964,FALSE,1,1,2,2,2,1,TRUE,0,2,4727.3171
1964,TRUE,1,0,2,2,2,1,FALSE,0,2,2449.7226
1963,FALSE,1,0,2,2,2,1,TRUE,0,2,3573.3881
1978,FALSE,0,1,0,0,1,0,FALSE,2,1,3195.4648
1977,FALSE,0,1,0,0,1,0,TRUE,2,1,3840.5055
1979,FALSE,0,1,4,4,1,0,TRUE,0,3,1760.9112
1979,FALSE,0,1,5,5,1,0,TRUE,0,3,1603.5622
1978,FALSE,1,0,3,3,2,1,TRUE,0,3,3356.5533
1978,FALSE,1,0,3,3,2,1,TRUE,0,3,3418.7608
1977,FALSE,0,0,0,0,1,0,FALSE,1,1,2132.5382
1975,FALSE,0,0,0,0,0,0,FALSE,0,2,1739.6694
1975,FALSE,0,1,0,0,1,0,TRUE,2,1,3815.3379
1976,FALSE,0,1,0,0,1,0,FALSE,3,1,4467.5506
1976,FALSE,1,1,0,0,2,1,FALSE,0,1,5925.6757
1974,TRUE,0,1,0,0,0,0,FALSE,2,1,2457.8962
1971,FALSE,1,1,4,4,1,2,TRUE,4,3,9361.9704
1970,TRUE,1,0,1,1,3,2,TRUE,2,1,6736.1207
1970,TRUE,1,0,1,1,3,2,TRUE,2,1,6630.5053
1967,TRUE,2,1,2,2,3,2,TRUE,2,1,11044.8056
1966,FALSE,2,0,3,3,3,2,TRUE,0,1,7656.1142
1969,TRUE,2,0,5,5,4,3,TRUE,0,2,5386.7133
1969,TRUE,2,0,5,5,4,3,TRUE,2,2,6862.0747
1969,TRUE,2,0,5,5,4,3,FALSE,0,2,4436.8866
1965,FALSE,1,1,0,0,3,3,FALSE,2,1,14299.3095
1965,FALSE,1,1,0,0,3,3,FALSE,2,1,14379.3544
1965,TRUE,3,1,3,3,3,2,TRUE,2,2,12723.3155
1964,TRUE,1,1,4,4,3,2,TRUE,4,4,10683.4358
1964,TRUE,1,1,5,5,3,2,TRUE,3,3,8926.26
1964,FALSE,1,0,5,5,3,2,TRUE,3,3,8522.9363
1963,FALSE,2,1,4,2,3,2,FALSE,0,2,7807.3136
1963,TRUE,2,1,4,2,3,3,TRUE,2,2,11143.7389
1968,FALSE,2,0,0,0,3,3,FALSE,0,1,11839.3519
1963,TRUE,2,1,4,2,3,3,TRUE,2,2,11143.0167
1963,FALSE,2,0,4,2,3,3,TRUE,0,3,8246.5252
1963,FALSE,2,0,4,2,3,3,TRUE,2,3,10815.7594
1962,TRUE,1,0,3,2,1,2,TRUE,2,2,3999.0526
1962,TRUE,2,0,1,0,2,2,TRUE,2,1,8244.0916
1962,TRUE,2,0,1,0,2,2,TRUE,2,1,8236.0869
1961,FALSE,1,1,4,2,1,2,TRUE,2,2,6124.4822
1961,TRUE,2,0,1,0,2,2,TRUE,0,1,6292.4543
1960,TRUE,1,1,4,2,1,2,TRUE,2,2,4845.2378
1960,TRUE,1,0,4,2,1,2,TRUE,2,2,3775.5671
1960,TRUE,1,0,4,2,1,2,TRUE,0,2,2863.4046
1967,FALSE,2,1,0,0,2,2,FALSE,2,1,13969.7722
1967,FALSE,2,1,0,0,2,2,FALSE,0,1,10797.1558
1967,FALSE,2,1,0,0,2,2,FALSE,2,1,13967.3238
1960,TRUE,2,1,1,0,2,2,TRUE,2,1,10615.4177
1959,TRUE,2,0,1,0,2,2,TRUE,2,1,8226.6898
1959,TRUE,2,1,1,0,2,2,FALSE,0,1,6822.7257
1959,TRUE,2,0,5,5,4,3,FALSE,4,3,8905.7617
1958,TRUE,2,0,1,0,3,3,TRUE,2,1,11823.1101
1969,TRUE,3,1,4,4,4,4,FALSE,0,1,9176.4865
1970,TRUE,3,0,4,4,4,4,TRUE,0,1,8463.5731
1970,TRUE,3,0,4,4,4,4,TRUE,0,1,8428.6333
1968,TRUE,2,1,5,5,3,3,TRUE,4,3,16006.3912
1968,TRUE,2,1,5,5,3,3,TRUE,4,3,15973.4849
1967,TRUE,2,0,5,5,3,3,TRUE,4,4,12290.8494
1967,FALSE,2,1,5,5,3,3,TRUE,4,4,19931.6599
1967,TRUE,2,1,5,5,3,3,TRUE,4,4,15938.5855
1967,TRUE,3,1,5,5,4,4,TRUE,0,2,10288.473
1967,FALSE,3,0,5,5,4,4,TRUE,0,3,9855.2153
1966,TRUE,3,1,5,5,3,3,TRUE,0,3,9881.2102
1969,TRUE,1,1,1,1,3,2,TRUE,2,1,8630.7197
1967,FALSE,1,1,0,0,3,3,FALSE,2,1,14297.8586
1967,FALSE,1,0,0,0,3,3,TRUE,2,1,13331.5098
1967,TRUE,1,0,0,0,3,3,FALSE,0,1,6842.586
1969,TRUE,2,0,5,5,4,3,TRUE,0,2,5333.3698
1965,FALSE,1,0,0,0,3,3,FALSE,2,1,11058.6193
1965,FALSE,3,1,3,3,3,2,TRUE,2,2,15914.2776
1965,TRUE,3,1,3,3,3,2,TRUE,0,2,9856.4862
1965,FALSE,3,0,3,3,3,2,TRUE,2,2,12263.6584
